title,price,rating,reviews,availability
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"4,807 ratings",In Stock
"Charger Dock Station for PS4, 1.8 Hrs Fast Charging for PS4 Charging Station, with LED Indicator Charging Chip, Dual USB Charger Dock for PS4/PS4 Slim/PS4 Pro Charger",,4.6 out of 5 stars,"14,428 ratings",In Stock
PlayStation 4 Console 500 GB (Renewed),,5.0 out of 5 stars,3 ratings,Not Available
"MOVONE Wireless Controller Dual Vibration Game Joystick Controller for PS4/ Slim/Pro,Compatible with PS4 Console",,4.1 out of 5 stars,"1,575 ratings",In Stock
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"45,378 ratings",In Stock
OWC 2.0 TB External Hard Drive Upgrade for Sony Playstation 4,,4.8 out of 5 stars,64 ratings,In Stock
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"37,868 ratings",In Stock
OWC 2.0TB Drive Upgrade Kit for Sony Playstation 4 (PS4),,4.5 out of 5 stars,"1,573 ratings",Only 11 left in stock - order soon.
"AceGamer Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joystick for PS4, Compatible with PS4, Slim, Pro and Windows PC",,4.1 out of 5 stars,"1,990 ratings",In Stock
"DualShock 4 Wireless Controller for PlayStation 4 , television- Jet Black (Renewed)",,3.9 out of 5 stars,"1,687 ratings",In Stock
"MOOGOLE PS4 Controller Wireless, with USB Cable/1000mAh Battery/Dual Vibration/6-Axis Motion Control/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",,4.2 out of 5 stars,"2,579 ratings",In Stock
PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,"1,098 ratings",Only 5 left in stock - order soon.
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,450 ratings",In Stock
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,695 ratings",Only 4 left in stock - order soon.
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,57 ratings,Only 5 left in stock - order soon.
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.2 out of 5 stars,"1,408 ratings",Only 10 left in stock - order soon.
"BINNUNE Gaming Headset with Mic for PS4 PS5 Xbox Series X|S Xbox One PC Switch, Wired Audifonos Gamer Headphones with Microphone for Playstation 4|5 Xbox 1",,4.3 out of 5 stars,655 ratings,In Stock
"Sombbry Wireless Controller for PS4, Wired P-4 Pro Controller with Paddles, White P-4 Controller Accessories, P-4 Accessories Perfect Adaptive Full Version 4/4 Pro/Slim.",,4.8 out of 5 stars,141 ratings,In Stock
